4K 專區,#genre#
2025年春晚 4K,https://svip.high24-playback.com/20250129/17159_7bca93c4/2000k/hls/mixed.m3u8
CCTV-16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=a78e16d1a56172e5525dedde279787a3&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
CCTV-16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=b8abd3452eecb0e3d19ba6faf2e52d00&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
CCTV-16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=e2fed648244b0ba2817187fcba2ca6cb&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
CCTV-4K,https://stream1.freetv.fun/cctv4k-4.m3u8
CCTV-4K,https://www.nettvpro.xyz/player/videojs.php?url=https://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4K,https://stream1.freetv.fun/cctv4k-2.ctv
CCTV-4K超高清,https://live.264788.xyz/channel/cctv4k?streamid=69b8ad870d6e6b638349a2eb5d3c6e98&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
CCTV-4K超高清,https://live.264788.xyz/channel/cctv4k?streamid=ddf7c8a2b9355fd0327077c06958bd0f&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
CCTV-4K超高清,https://live.264788.xyz/channel/cctv4k?streamid=dc08cf9ff7243e2392ad3c40024e31b8&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
CCTV16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=884beeee2f690947ee4f7b50e57fa356&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=06b31b51757bd2961b2ba07ec3a260db&livekey=01Whq5ncXSAY4QR6pptNT2rv7QFdu8DzGamcb
CCTV16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=06b31b51757bd2961b2ba07ec3a260db&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV4K,http://home.amucn.net:8800/udp/239.49.0.82:8000
CCTV8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
GCN24KOREAN,http://liveko24-manminglobal3.ktcdn.co.kr/liveko24/gcnko_1300k.stream/playlist.m3u8
NHKBS4K,https://nl.utako.moe/bsp4k/index.m3u8
TVB翡翠台 4K,https://stream1.freetv.fun/fei-cui-8.m3u8
TVB翡翠台 4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
TVB翡翠台4K,https://cdn6.163189.xyz/163189/fct4k\r
cctv-4k超高清,https://stream1.freetv.fun/5d4213276b9703523ca4f8cbf694ad036106486cfa7c37443a8385da27dd3feb.m3u8
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,https://live.264788.xyz/channel/dongfangweishi4k?streamid=f41e2e6a8a641abd5164ef3296613ffc&livekey=01Whq5ncXSAY4QR6pq0ikRcQEwS3DRuRtmx0E
北京IPTV4K,http://quan2018.mycloudnas.com:9000/udp/239.3.1.249:8001
北京卫视4K,https://live.264788.xyz/channel/beijingweishi4k?streamid=25d5d76430b54bdd020d7c296dab2f49&livekey=01Whq5ncXSAY4QR6pptNT2rv7QFdu8DzGamcb
北京卫视4K,https://live.264788.xyz/channel/beijingweishi4k?streamid=ec1dc6a6eb32cabcbff436085ff993ef&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
北京卫视4K,https://live.264788.xyz/channel/beijingweishi4k?streamid=20915ffd9b2848bf3604dfea93e5f344&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
北京卫视4K超,http://183.215.134.239:19901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
南国都市4K,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
咪视界4K,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000005180
四川卫视4K,https://live.264788.xyz/channel/sichuanweishi4k?streamid=9070d75c22916dd9069af92e78a87f4a&livekey=01Whq5ncXSAY4QR6psQ10H9GL9jLQJCwssQc4
四川卫视4K,https://live.264788.xyz/channel/sichuanweishi4k?stream_id=9070d75c22916dd9069af92e78a87f4a&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
四川卫视4K,https://live.264788.xyz/channel/sichuanweishi4k?streamid=9070d75c22916dd9069af92e78a87f4a&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
四川卫视频4K,http://124.116.170.138:8081/rtp/239.111.205.62:5140
山东卫视4K,https://live.264788.xyz/channel/shandongweishi4k?streamid=94f01afe37551c1ea2aa8e32b1d80c9e&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
山东卫视4K,https://live.264788.xyz/channel/shandongweishi4k?streamid=89b04153333adc0894ea0c2a3527347d&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
山东卫视4K,https://live.264788.xyz/channel/shandongweishi4k?streamid=b2b0e07cc468e86084becea40f52584e&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
山东卫视频4K,http://124.116.170.138:8081/rtp/239.111.205.66:5140
广东4K,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
广东卫视4K,https://live.264788.xyz/channel/guangdongweishi4k?streamid=19536a755f973091e18a5474c5000880&livekey=01Whq5ncXSAY4QR6psQ10H9GL9jLQJCwssQc4
广东卫视4K,https://live.264788.xyz/channel/guangdongweishi4k?streamid=e0289cccc782400e932e5d3b2830db4d&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
广东卫视4K,https://live.264788.xyz/channel/guangdongweishi4k?streamid=8dcdf34f2fa7ccf51c7d93cd359d414c&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
广东卫视频4K,http://124.116.170.138:8081/rtp/239.111.205.103:5140
欢笑剧场4K,https://live.264788.xyz/channel/huanxiaojuchang4k?streamid=19ef65ccaaa65442fd584e101f4ad3cd&livekey=01Whq5ncXSAY4QR6prIBsuR1ohCiu6t5ZQRPs
