4K 專區,#genre#
CCTV-4K,https://www.nettvpro.xyz/player/videojs.php?url=https://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4K,https://stream1.freetv.fun/cctv4k-4.m3u8
CCTV-4K,https://stream1.freetv.fun/cctv4k-2.ctv
TVB翡翠台 4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
TVB翡翠台 4K,https://stream1.freetv.fun/fei-cui-8.m3u8
翡翠台4K,https://cdn6.163189.xyz/163189/fct4k
TVB翡翠台4K,https://cdn6.163189.xyz/163189/fct4k\r
TVB翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/\r
cctv-4k超高清,https://stream1.freetv.fun/5d4213276b9703523ca4f8cbf694ad036106486cfa7c37443a8385da27dd3feb.m3u8
北京卫视4K,https://live.264788.xyz/channel/beijingweishi4k?streamid=25d5d76430b54bdd020d7c296dab2f49&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
北京卫视4K,https://live.264788.xyz/channel/beijingweishi4k?streamid=f547e05406fe7bdfc6acc9b977edd11f&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
北京卫视4K,https://live.264788.xyz/channel/beijingweishi4k?stream_id=25d5d76430b54bdd020d7c296dab2f49&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
广东4K,http://38.75.136.137:98/gslb/dsdqpub/gdtvs3.m3u8?auth=testpub
广东4K,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
广东4K,http://113.119.24.176:58888/udp/239.77.0.244:5146
CCTV8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
江苏卫视4K,https://live.264788.xyz/channel/jiansuweishi4k?stream_id=96b7e3f8759d9753cc16c01dbf1cf133&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
江苏卫视4K,https://live.264788.xyz/channel/jiangsuweishi4k?stream_id=96b7e3f8759d9753cc16c01dbf1cf133&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
江苏卫视4K,https://live.264788.xyz/channel/jiangsuweishi4k?streamid=96b7e3f8759d9753cc16c01dbf1cf133&livekey=01Whq5ncXSAY4QR6psQ10H9GL9jLQJCwssQc4
欢笑剧场4K,https://live.264788.xyz/channel/huanxiaojuchang4k?streamid=19ef65ccaaa65442fd584e101f4ad3cd&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
欢笑剧场4K,https://live.264788.xyz/channel/huanxiaojuchang4k?stream_id=cdf81549f79c72ee9b8c690b71f86b4a&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
欢笑剧场4K,https://live.264788.xyz/channel/huanxiaojuchang4k?streamid=19ef65ccaaa65442fd584e101f4ad3cd&livekey=01Whq5ncXSAY4QR6psF2ryHRcUm37BlrBqXnU
湖南卫视4K,https://live.264788.xyz/channel/hunanweishi4k?stream_id=b52d43b20b39c56c9bddf8922eca8b65&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
湖南卫视4K,https://live.264788.xyz/channel/hunanweishi4k?streamid=b52d43b20b39c56c9bddf8922eca8b65&livekey=01Whq5ncXSAY4QR6prIBsuR1ohCiu6t5ZQRPs
湖南卫视4K,https://live.264788.xyz/channel/hunanweishi4k?streamid=b52d43b20b39c56c9bddf8922eca8b65&livekey=01Whq5ncXSAY4QR6pq0ikRcQEwS3DRuRtmx0E
广东卫视4K,https://live.264788.xyz/channel/guangdongweishi4k?stream_id=ff2996e7243c2d8503dc889c3c917744&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
广东卫视4K,https://live.264788.xyz/channel/guangdongweishi4k?stream_id=434e79f5ca4b5c28c38286e1c881e7dd&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
广东卫视4K,https://live.264788.xyz/channel/guangdongweishi4k?streamid=0e99b91c9171872ee1741a607409cf42&livekey=01Whq5ncXSAY4QR6pptNT2rv7QFdu8DzGamcb
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,https://live.264788.xyz/channel/dongfangweishi4k?streamid=f41e2e6a8a641abd5164ef3296613ffc&livekey=01Whq5ncXSAY4QR6prIBsuR1ohCiu6t5ZQRPs
CCTV16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=06b31b51757bd2961b2ba07ec3a260db&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=884beeee2f690947ee4f7b50e57fa356&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV16奥林匹克4K,https://live.264788.xyz/channel/cctv164k?streamid=06b31b51757bd2961b2ba07ec3a260db&livekey=01Whq5ncXSAY4QR6pptNT2rv7QFdu8DzGamcb
浙江卫视4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视4K,https://live.264788.xyz/channel/zhejiangweishi4k?streamid=88a8bbf87f8a7e9ca7fde9a99ad455ad&livekey=01Whq5ncXSAY4QR6pq0ikRcQEwS3DRuRtmx0E
浙江卫视4K,https://live.264788.xyz/channel/zhejiangweishi4k?streamid=88a8bbf87f8a7e9ca7fde9a99ad455ad&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV4K,https://live.264788.xyz/channel/cctv4k?streamid=925611a7e913d370b80f6481e5e5033e&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV4K,https://live.264788.xyz/channel/cctv4k?streamid=3af810f7d466810e838b0439f35580d6&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV4K,https://live.264788.xyz/channel/cctv4k?streamid=9d9e2bf5475db3aed03a0803b8860e4f&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
南国都市4K,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
南国都市4K,http://tencentplaygsm.gztv.com/live/nanguodushi.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
NHKBS4K,https://nl.utako.moe/bsp4k/index.m3u8
深圳卫视4K,https://live.264788.xyz/channel/shenzhenweishi4k?stream_id=0e8ac1cf7cfcd940ac6b32a97d8fd9c6&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
深圳卫视4K,https://live.264788.xyz/channel/shenzhenweishi4k?streamid=0e8ac1cf7cfcd940ac6b32a97d8fd9c6&livekey=01Whq5ncXSAY4QR6prIBsuR1ohCiu6t5ZQRPs
深圳卫视4K,https://live.264788.xyz/channel/shenzhenweishi4k?stream_id=19f863c2a87632a8f48ceb3c8b579e05&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
四川卫视4K,https://live.264788.xyz/channel/sichuanweishi4k?streamid=9070d75c22916dd9069af92e78a87f4a&livekey=01Whq5ncXSAY4QR6psQ10H9GL9jLQJCwssQc4
四川卫视4K,https://live.264788.xyz/channel/sichuanweishi4k?streamid=9070d75c22916dd9069af92e78a87f4a&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
四川卫视4K,https://live.264788.xyz/channel/sichuanweishi4k?stream_id=9070d75c22916dd9069af92e78a87f4a&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
山东卫视4K,https://live.264788.xyz/channel/shandongweishi4k?streamid=b2b0e07cc468e86084becea40f52584e&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
山东卫视4K,https://live.264788.xyz/channel/shandongweishi4k?stream_id=b2b0e07cc468e86084becea40f52584e&livekey=01Whq5ncXSAY4QR3cRnlz8eF6Wlsg97gypp3V
山东卫视4K,https://live.264788.xyz/channel/shandongweishi4k?streamid=94f01afe37551c1ea2aa8e32b1d80c9e&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
CCTV-4K超高清,https://live.264788.xyz/channel/cctv4k?streamid=69b8ad870d6e6b638349a2eb5d3c6e98&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
